iter	Passed	Remaining
0	61	61616
1	62	31093
2	62	20926
3	63	15813
4	64	12747
5	64	10694
6	65	9233
7	65	8141
8	66	7296
9	66	6613
10	67	6053
11	67	5582
12	68	5184
13	68	4855
14	69	4566
15	70	4314
16	70	4090
17	71	3886
18	71	3702
19	72	3540
20	72	3396
21	73	3263
22	74	3143
23	74	3031
24	75	2929
25	75	2834
26	76	2745
27	76	2665
28	77	2589
29	77	2517
30	78	2449
31	78	2387
32	79	2328
33	80	2273
34	80	2221
35	81	2172
36	81	2128
37	82	2084
38	82	2044
39	83	2002
40	84	1964
41	84	1928
42	85	1894
43	85	1861
44	86	1828
45	86	1797
46	87	1769
47	87	1741
48	88	1714
49	88	1687
50	89	1663
51	89	1640
52	90	1616
53	90	1592
54	91	1571
55	91	1550
56	92	1529
57	92	1509
58	93	1491
59	94	1473
60	94	1455
61	95	1439
62	95	1422
63	96	1405
64	96	1390
65	97	1375
66	97	1360
67	97	1342
68	98	1328
69	98	1314
70	99	1301
71	99	1288
72	100	1276
73	101	1264
74	101	1252
75	102	1240
76	102	1229
77	103	1218
78	103	1208
79	104	1197
80	104	1186
81	105	1177
82	105	1167
83	106	1158
84	106	1146
85	107	1137
86	107	1126
87	107	1117
88	108	1109
89	108	1101
90	109	1092
91	109	1084
92	110	1077
93	110	1069
94	111	1062
95	112	1055
96	112	1048
97	113	1041
98	113	1034
99	114	1028
100	114	1021
101	114	1012
102	115	1005
103	115	999
104	116	992
105	117	986
106	117	981
107	118	975
108	118	969
109	119	964
110	119	958
111	120	952
112	120	947
113	121	941
114	121	937
115	122	932
116	122	927
117	123	921
118	123	916
119	124	911
120	124	906
121	125	902
122	125	895
123	126	890
124	126	886
125	127	881
126	127	877
127	127	871
128	128	867
129	129	863
130	129	859
131	130	855
132	130	852
133	131	848
134	131	844
135	132	840
136	132	836
137	133	832
138	133	828
139	134	824
140	134	820
141	135	817
142	135	813
143	136	809
144	136	806
145	137	802
146	137	799
147	138	796
148	138	792
149	139	789
150	139	786
151	140	783
152	140	780
153	141	777
154	142	774
155	142	771
156	143	768
157	143	765
158	144	762
159	144	759
160	145	756
161	145	753
162	146	750
163	146	747
164	147	744
165	147	742
166	148	738
167	148	736
168	149	732
169	149	730
170	150	727
171	150	725
172	151	722
173	151	719
174	152	716
175	152	714
176	152	711
177	153	708
178	153	705
179	154	703
180	154	699
181	155	696
182	155	694
183	155	691
184	156	690
185	157	687
186	157	684
187	157	682
188	158	679
189	158	677
190	159	674
191	159	672
192	160	669
193	160	666
194	160	664
195	161	661
196	161	658
197	161	656
198	162	653
199	162	651
200	163	648
201	163	646
202	164	643
203	164	641
204	164	639
205	165	637
206	165	634
207	166	632
208	166	630
209	167	628
210	167	628
211	168	626
212	168	623
213	169	621
214	169	619
215	170	617
216	170	615
217	171	613
218	171	611
219	171	609
220	172	606
221	172	604
222	172	602
223	173	600
224	173	598
225	174	596
226	174	594
227	174	592
228	175	590
229	175	588
230	176	586
231	176	584
232	177	582
233	177	580
234	177	578
235	178	576
236	178	575
237	179	573
238	179	571
239	179	569
240	180	567
241	180	566
242	181	564
243	181	562
244	182	561
245	183	561
246	183	559
247	184	560
248	185	558
249	185	556
250	185	554
251	186	553
252	186	551
253	187	549
254	187	548
255	188	546
256	188	544
257	188	543
258	189	541
259	189	539
260	190	538
261	190	536
262	190	535
263	191	533
264	191	531
265	192	530
266	192	528
267	193	527
268	193	526
269	193	524
270	194	522
271	195	522
272	195	520
273	195	519
274	196	517
275	196	516
276	197	514
277	197	513
278	198	512
279	198	510
280	198	509
281	199	507
282	199	506
283	200	504
284	200	503
285	201	501
286	201	500
287	201	499
288	202	497
289	202	496
290	203	494
291	203	493
292	203	492
293	204	490
294	204	489
295	205	488
296	205	487
297	206	486
298	206	484
299	207	483
300	207	482
301	208	480
302	208	479
303	208	478
304	209	477
305	209	475
306	210	474
307	210	473
308	211	472
309	211	470
310	211	469
311	212	468
312	212	466
313	213	465
314	213	464
315	214	463
316	214	462
317	214	460
318	215	459
319	215	458
320	216	456
321	216	455
322	216	454
323	217	453
324	217	451
325	218	450
326	218	449
327	218	448
328	219	447
329	219	446
330	220	445
331	220	444
332	221	442
333	221	441
334	221	440
335	222	439
336	222	438
337	223	436
338	223	435
339	223	434
340	224	433
341	224	432
342	225	431
343	225	430
344	226	429
345	226	428
346	227	427
347	227	426
348	228	425
349	228	424
350	228	423
351	229	422
352	229	420
353	230	419
354	230	418
355	230	417
356	231	416
357	231	415
358	232	414
359	232	413
360	233	412
361	233	411
362	234	410
363	234	409
364	234	408
365	235	407
366	235	406
367	236	405
368	236	404
369	236	403
370	237	402
371	237	401
372	238	400
373	238	399
374	238	398
375	239	397
376	239	396
377	240	395
378	240	394
379	240	393
380	241	392
381	241	391
382	242	390
383	242	389
384	242	388
385	243	387
386	243	386
387	244	385
388	244	384
389	245	383
390	245	382
391	246	381
392	246	380
393	246	379
394	247	378
395	247	378
396	248	377
397	248	376
398	249	375
399	249	374
400	249	373
401	250	372
402	251	371
403	251	371
404	251	370
405	252	369
406	252	368
407	253	367
408	253	366
409	254	365
410	254	365
411	255	364
412	255	363
413	256	362
414	256	361
415	257	360
416	257	359
417	257	359
418	258	358
419	258	357
420	259	356
421	259	355
422	259	354
423	260	353
424	260	352
425	261	352
426	261	351
427	262	350
428	262	349
429	262	348
430	263	347
431	263	346
432	264	346
