iter	Passed	Remaining
0	63	63128
1	64	32186
2	65	21900
3	67	16703
4	68	13716
5	69	11559
6	70	10051
7	71	8878
8	72	7984
9	73	7274
10	74	6686
11	75	6237
12	77	5849
13	78	5518
14	79	5229
15	80	4968
16	81	4738
17	83	4536
18	84	4352
19	85	4179
20	86	4029
21	88	3915
22	89	3781
23	90	3665
24	91	3550
25	92	3449
26	93	3352
27	93	3260
28	94	3177
29	95	3103
30	97	3046
31	99	3016
32	100	2957
33	102	2914
34	104	2875
35	114	3078
36	115	3015
37	117	2970
38	118	2918
39	119	2866
40	120	2815
41	121	2771
42	122	2721
43	123	2677
44	124	2633
45	124	2590
46	125	2554
47	128	2550
48	129	2514
49	130	2479
50	131	2449
51	132	2417
52	133	2385
53	134	2354
54	135	2329
55	136	2301
56	137	2273
57	138	2247
58	140	2233
59	140	2206
60	142	2185
61	143	2166
62	144	2144
63	144	2119
64	145	2097
65	146	2076
66	147	2057
67	148	2038
68	149	2019
69	151	2009
70	152	1990
71	153	1975
72	154	1957
73	155	1940
74	156	1927
75	157	1915
76	158	1900
77	159	1885
78	160	1871
79	161	1857
80	162	1841
81	163	1826
82	163	1806
83	164	1792
84	165	1779
85	166	1767
86	167	1755
87	168	1743
88	169	1732
89	170	1721
90	171	1713
91	172	1703
92	173	1691
93	174	1679
94	175	1668
95	175	1655
96	176	1643
97	177	1631
98	177	1619
99	178	1609
100	179	1598
101	180	1587
102	181	1577
103	181	1566
104	182	1556
105	183	1546
106	184	1536
107	184	1526
108	185	1517
109	186	1510
110	187	1503
111	188	1495
112	189	1488
113	190	1480
114	191	1471
115	191	1462
116	192	1451
117	193	1444
118	194	1436
119	194	1428
120	195	1420
121	196	1412
122	197	1404
123	197	1397
124	198	1391
125	199	1383
126	199	1374
127	200	1367
128	202	1365
129	203	1358
130	203	1351
131	204	1344
132	205	1337
133	206	1331
134	206	1324
135	207	1317
136	208	1315
137	209	1309
138	210	1303
139	211	1296
140	211	1291
141	212	1283
142	213	1277
143	213	1271
144	214	1265
145	215	1258
146	215	1252
147	216	1247
148	218	1246
149	219	1241
150	220	1237
151	220	1231
152	221	1226
153	222	1220
154	223	1215
155	223	1210
156	224	1204
157	224	1198
158	225	1193
159	226	1189
160	227	1182
161	227	1178
162	228	1174
163	229	1169
164	230	1164
165	230	1160
166	231	1155
167	232	1150
168	232	1145
169	233	1141
170	234	1136
171	235	1132
172	236	1128
173	236	1123
174	237	1119
175	238	1114
176	238	1110
177	239	1106
178	240	1101
179	240	1097
180	241	1092
181	242	1088
182	242	1084
183	243	1079
184	244	1075
185	244	1070
186	245	1066
187	245	1061
188	246	1057
